2025-11-17 23:49:00,264 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:00.250013+00:00 but suppressed trade
2025-11-17 23:49:01,127 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:01,137 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:00.250013+00:00 new=2025-11-17T15:49:01.127263+00:00)
2025-11-17 23:49:01,137 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:01.127263+00:00 but suppressed trade
2025-11-17 23:49:03,548 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:03,564 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:01.127263+00:00 new=2025-11-17T15:49:03.548773+00:00)
2025-11-17 23:49:03,564 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:03.548773+00:00 but suppressed trade
2025-11-17 23:49:06,838 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:06,848 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:03.548773+00:00 new=2025-11-17T15:49:06.838328+00:00)
2025-11-17 23:49:06,848 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:06.838328+00:00 but suppressed trade
2025-11-17 23:49:07,629 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:07,639 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:06.838328+00:00 new=2025-11-17T15:49:07.629082+00:00)
2025-11-17 23:49:07,639 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:07.629082+00:00 but suppressed trade
2025-11-17 23:49:09,963 | INFO     | auto_trader.wechat_ocr_listener | OCR scan detected 1 candidate(s); latest=0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444
2025-11-17 23:49:09,971 | INFO     | auto_trader.storage.address_repo | Updated timestamp for address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 (old=2025-11-17T15:49:07.629082+00:00 new=2025-11-17T15:49:09.963736+00:00)
2025-11-17 23:49:09,971 | INFO     | auto_trader.wechat_ocr_listener | Captured address 0xcb02d393e5f4a3d4f621fcd1b1710f5b245a4444 at 2025-11-17T15:49:09.963736+00:00 but suppressed trade
